Region / Office,"Date of
Purchase",Name of Supplier,Description of Items,Unit price,Quantities,Total Amount,"Branding other than
Supplier Name that
appeared on items"
DDPP Bhisho,4/15/2020,Abacus Supply Chain Solutions (PTY) Ltd,5L Handsanitiser with 70% Alcohol,6.00,475.00,3277.50,None
DDPP Bhisho,4/16/2020,Heinen Uniforms & Ebroider Studio,Face Masks,17.39,130,2599.95,None
DDPP Durban,3/19/2020,AIG INTERNATIONAL,SANITIZERS,100.00,18,2070.00,None
DDPP Durban,4/2/2020,SERVICE ROYALE HYGIENE SPECIALISTS KZN,MASKS,25.00,200,5750.00,None
DDPP Durban,4/14/2020,SERVICE ROYALE HYGIENE SPECIALISTS KZN,MASKS,25.00,90,2587.50,None
DDPP Durban,4/16/2020,DISCHEM,GLOVES,119.95,6BOXES,720.70,None
DDPP Durban,4/19/2020,DISCHEM,GLOVES,119.95,7BOXES,854.60,None
DDPP Port Elizabeth,3/24/2020,Antonroland Enterprises,Hand Sprayer bottles,242.18,11x5lit,1210.90,None
DDPP Port Elizabeth,4/15/2020,Conticare,Gloves,"1,100.00",5boxes,5500.00,None
DDPP Port Elizabeth,5/18/2020,Saniti ZA,Sanitaz Units,650.00,8,5200.00,None
DDPP Port Elizabeth,6/10/2020,WB Metal Design,Foot Operated Saniter Stands,550.00,6,2700.00,none
DPP BISHO,4/1/2020,Decontimination of offices,Decontamination,0,0,9200.00,None
DPP BISHO,5/1/2020,Decontimination of offices,Decontamination,0,0,9700.00,None
DPP BISHO,6/1/2020,Decontimination of offices,Decontamination,0,0,2700.00,None
DPP BISHO,7/1/2020,Decontimination of offices,Decontamination,0,0,18400.00,None
DPP Bloemfontein,3/31/2020,Adcoc Ingram,Sanitizer,65.88,54x500ml,3557.52,None
DPP Bloemfontein,4/14/2020,the inspired bunny,Re-usable masks,40.00,120,4800.00,None
DPP Bloemfontein,5/19/2020,SHIFT CONSULTING,RE-USABLE FACE MASKS -  BLOEMFONTEIN,,,12700.00,None
DPP Bloemfontein,5/25/2020,ARISING VISONARIES,SANITIZERS x 254 - DPP BLOEMFONTEIN,,,77470.00,None
DPP Cape Town,5/19/2020,DESIGN26 FOUNDATION,RE-USABLE FACE MASKS - DPP CAPE TOWN,,,25806.00,None
DPP Cape Town,5/19/2020,KHACHANI ENTERPRISE,FACE SHIELDS x 500,,,11300.00,None
DPP Cape Town,5/26/2020,REROX,SANITIZERS x 528 - CAPE TOWN,,,144883.20,None
DPP CAPE TOWN,5/1/2020,Decontimination of offices,Decontamination,0,0,3455.94,None
DPP CAPE TOWN,7/1/2020,Decontimination of offices,Decontamination,0,0,3455.94,None
DPP DURBAN,5/1/2020,Decontimination of offices,Decontamination,0,0,3482.96,None
DPP DURBAN,6/1/2020,Decontimination of offices,Decontamination,0,0,3482.96,None
DPP DURBAN,7/1/2020,Decontimination of offices,Decontamination,0,0,3482.96,None
DPP Grahamstown,4/15/2020,Abacus supply chain solutions,Handsanitizer,475.00,6x5l,2850.00,None
DPP Grahamstown,4/15/2020,Mustard seed,Handsanitizer,404.10,2x2l,808.20,None
DPP Grahamstown,4/16/2020,Heinen Embroidery,Face Masks,20.00,81,1620.00,None
DPP Grahamstown,5/18/2020,A D MEDICAL,FACE SHIELDS x 600,,,16491.00,None
DPP Grahamstown,5/19/2020,CAPE BUSINESS AND ENGINEERING COLLEGE,RE-USABLE FACE MASKS - EASTERN CAPE,,,15884.00,None
DPP Grahamstown,5/25/2020,TRIPLEM SERVIC,SANITIZERS x 361 - EASTERN CAPE OFFICE,,,86683.32,None
DPP Grahamstown,9/4/2020,Heinen Embroidery,Face Masks,20.00,10,200.00,None
DPP GRAHAMSTOWN,4/1/2020,Decontimination of offices,Decontamination,0,0,1120.00,None
DPP GRAHAMSTOWN,5/1/2020,Decontimination of offices,Decontamination,0,0,450.00,None
DPP GRAHAMSTOWN,6/1/2020,Decontimination of offices,Decontamination,0,0,1000.00,None
DPP Johannesburg,3/9/2020,Reggae Products,Hand sanitisers,21.00,92,1932.00,None
DPP Johannesburg,3/18/2020,Muluila Supermarket,Hand sanitisers,110.00,31,3410.00,None
DPP Johannesburg,3/19/2020,China shop,Gloves,60.00,4,240.00,None
DPP Johannesburg,3/24/2020,Gzwivhuya group,Hand sanitisers,"4,000.00",1,4000.00,None
DPP Johannesburg,4/20/2020,Walkerville Pharmacy,Face masks,30.00,100,3000.00,None
DPP Johannesburg,4/21/2020,PPE Pharma Supplies,Face masks,20.00,300,6000.00,None
DPP Johannesburg,5/20/2020,FLAMINGO MOON TRADING 146,RE-USABLE FACE MASKS - JHB,,,19927.20,None
DPP Johannesburg,5/25/2020,CHANTEL CONSORTIUM,SANITIZERS x 456 - DPP JHB,,,118560.00,None
DPP JOHANNESBURG,4/1/2020,Decontimination of offices,Decontamination,0,0,45895.05,None
DPP JOHANNESBURG,5/1/2020,Decontimination of offices,Decontamination,0,0,45895.05,None
DPP JOHANNESBURG,6/1/2020,Decontimination of offices,Decontamination,0,0,112595.05,None
DPP JOHANNESBURG,7/1/2020,Decontimination of offices,Decontamination,0,0,112595.05,None
DPP KIMBERLEY,6/1/2020,Decontimination of offices,Decontamination,0,0,8902.75,None
DPP KIMBERLEY,7/1/2020,Decontimination of offices,Decontamination,0,0,16845.53,None
DPP Kimberley,5/21/2020,THE EYE NORTHERN CAPE,RE-USABLE FACE MASKS - KIMBERLY,,,7100.00,None
DPP Kimberley,5/25/2020,AMBITIOUSD ENTERPRISE,SANITIZERS x 142 - DPP KIMBERLEY,,,43310.00,None
DPP Limpopo,3/20/2020,CHARMERS,LH GKOVES BLUE BOX,100.00,2,200.00,None
DPP Limpopo,3/20/2020,CHARMERS,LH GKOVES BLUE BOX,100.00,2,200.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 20L,32.00,1,32.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,MEASURING JUG 600ML,19.00,1,19.00,None
DPP Limpopo,3/20/2020,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 2.5L,8.50,1,8.50,None
DPP Limpopo,3/20/2020,CLICKS PHARMACY POLOKWANE,FIRST AID MASK,10.99,4,43.96,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,DISHWASHER 2L,19.99,1,19.99,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,DETTOL 250ML,45.00,1,45.00,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,BLEACH 750ML,23.97,1,23.97,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,SPRAY BOTTLE,13.99,2,27.98,None
DPP Limpopo,3/20/2020,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,24.99,1,24.99,None
DPP Limpopo,3/24/2020,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,130.00,1,130.00,None
